
[Wed Jan 04 18:46:28.763 2017] Begin Peak Summation Update test @ 8000 KHz
[Wed Jan 04 18:46:30.935 2017] ,START,EOL
[Wed Jan 04 18:46:30.951 2017] ,COMMENT,Peak Summation
[Wed Jan 04 18:46:30.967 2017] ,COMMENT,TX BIAS DELAY HAS BEEN REMOVED
[Wed Jan 04 18:46:31.014 2017] ,INFO,BOARD_ID,NA,SOIL_TYPE,NA,START_FREQ,8000,STOP_FREQ,12000,FREQ_INC,100,DELAY_TIME,100,NUM_SEQ_MEASURES,10,FIRMWARE_VERSION,0.1.8,TX_COIL,1,RX_COIL,1
[Wed Jan 04 18:46:31.170 2017] ,ACTION,SOIL TYPE,WATER CONTENT (%),tx_freq_actual (KHz),ADC Value (mV),TEMPERATURE (degC)
[Wed Jan 04 18:46:34.436 2017] ,CHARGING,NA,NA,8000.00,2,23
[Wed Jan 04 18:46:34.561 2017] ,CHARGING,NA,NA,8000.00,2,23
[Wed Jan 04 18:46:34.795 2017] ,MEASURE,NA,NA,8000.00,2,23
[Wed Jan 04 18:46:35.045 2017] ,MEASURE,NA,NA,8000.00,2,23
[Wed Jan 04 18:46:35.279 2017] ,MEASURE,NA,NA,8000.00,2,23
[Wed Jan 04 18:46:35.498 2017] ,MEASURE,NA,NA,8000.00,2,23
[Wed Jan 04 18:46:35.748 2017] ,MEASURE,NA,NA,8000.00,2,23
[Wed Jan 04 18:46:35.779 2017] ,RECORD,NA,NA,8000.00,2,23
[Wed Jan 04 18:46:35.811 2017] ,PEAK_SUMMATION_INC,NA,NA,freq = 8000.00,running_sum = 2 (12bit),running_sum = 2 (mV), temp = 23
[Wed Jan 04 18:46:36.217 2017] ,DISCHARGE,NA,NA,8000.00,1,23
[Wed Jan 04 18:46:39.123 2017] ,CHARGING,NA,NA,8100.00,2,23
[Wed Jan 04 18:46:39.248 2017] ,CHARGING,NA,NA,8100.00,2,23
[Wed Jan 04 18:46:39.483 2017] ,MEASURE,NA,NA,8100.00,1,23
[Wed Jan 04 18:46:39.717 2017] ,MEASURE,NA,NA,8100.00,1,23
[Wed Jan 04 18:46:39.952 2017] ,MEASURE,NA,NA,8100.00,2,23
[Wed Jan 04 18:46:40.186 2017] ,MEASURE,NA,NA,8100.00,2,23
[Wed Jan 04 18:46:40.420 2017] ,MEASURE,NA,NA,8100.00,2,23
[Wed Jan 04 18:46:40.467 2017] ,RECORD,NA,NA,8100.00,2,23
